ID Venta,Fecha,Sucursal,SKU,Nombre del Producto,Cantidad Vendida,Precio Unitario,Descuento Aplicado,Total Venta,Método de Pago,Cliente ID
113,2023-05-05,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,1500,500,Tarjeta de Débito,C00195
1150,2023-04-10,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,1500,500,Tarjeta de Débito,C00004
1162,2023-08-23,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1500,500,Tarjeta de Crédito,C00236
1646,2023-09-03,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1500,500,Tarjeta de Crédito,C00232
1753,2023-02-09,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1500,500,Billetera Digital,C00145
2876,2023-01-10,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,1500,500,Tarjeta de Crédito,C00113
3250,2023-11-24,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1500,500,Billetera Digital,C00064
3448,2023-05-06,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1500,500,Efectivo,C00093
4146,2023-04-13,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,1500,500,Tarjeta de Crédito,C00173
4963,2023-04-20,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,1500,500,Billetera Digital,C00217
434,2023-10-12,Sucursal 1,BEB-00005,Agua Mineral,1,2000,1500,500,Efectivo,C00270
887,2023-01-21,Sucursal 2,BEB-00005,Agua Mineral,1,2000,1500,500,Efectivo,C00285
3151,2023-09-03,Sucursal 2,BEB-00005,Agua Mineral,1,2000,1500,500,Transferencia,C00138
4436,2023-04-26,Sucursal 2,BEB-00005,Agua Mineral,1,2000,1500,500,Transferencia,C00028
900,2023-10-06,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1000,1000,Efectivo,C00218
1373,2023-07-16,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1000,1000,Tarjeta de Débito,C00152
1393,2024-01-12,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1000,1000,Tarjeta de Débito,C00150
3237,2023-02-27,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,1000,1000,Billetera Digital,C00058
3268,2023-10-19,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,1000,1000,Billetera Digital,C00043
3683,2024-01-29,Sucursal 1,VER-00002,Lechuga Orgánica,1,2000,1000,1000,Tarjeta de Crédito,C00033
4060,2023-08-12,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,1000,1000,Efectivo,C00117
395,2023-03-05,Sucursal 1,BEB-00005,Agua Mineral,1,2000,1000,1000,Tarjeta de Débito,C00111
1756,2024-01-18,Sucursal 1,BEB-00005,Agua Mineral,1,2000,1000,1000,Transferencia,C00279
2835,2023-10-20,Sucursal 3,BEB-00005,Agua Mineral,1,2000,1000,1000,Efectivo,C00067
3911,2023-05-12,Sucursal 2,BEB-00005,Agua Mineral,1,2000,1000,1000,Transferencia,C00149
4047,2023-07-30,Sucursal 1,BEB-00005,Agua Mineral,1,2000,1000,1000,Billetera Digital,C00159
4126,2023-09-08,Sucursal 2,BEB-00005,Agua Mineral,1,2000,1000,1000,Transferencia,C00186
1382,2023-09-06,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,500,1500,Efectivo,C00211
1953,2023-05-24,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,500,1500,Billetera Digital,C00295
3016,2023-12-11,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,500,1500,Efectivo,C00187
3217,2023-09-12,Sucursal 3,VER-00002,Lechuga Orgánica,1,2000,500,1500,Billetera Digital,C00102
4042,2023-07-08,Sucursal 2,VER-00002,Lechuga Orgánica,1,2000,500,1500,Transferencia,C00197
